cardRef,state,brandCode,holderNameRaw,balanceTxt,currencyCode,internationalFlag,expiryTxt,cvvTxt,pinTxt,maxDailyTxTxt,maxTxAmountTxt,issuingCountryCode,notesRaw,providerCode,providerFeePctTxt,providerDailyLimitTxt,providerPriorityTxt,providerState,providerCountry,txKind,txAmountTxt,txRequestRef
VC-00076,B,03,USER 76,"5200,69",BRL,N,09/33,493,9218,48,"1274,13",PT,Legacy note 76,PAYPAL,4.18,11937,4,B,Spain,T,"5247,08",6b056300-f894-4b76-ad45-3914e34ea290
VC-00077,B,05,USER 77,"7173,82",BRL,N,06/26,694,7766,16,"3900,55",FR,Legacy note 77,SQUARE,4.12,12812,2,A,France,P,"6200,90",0ee81564-01a1-4f0a-956b-61d9104b5163
VC-00078,A,04,USER 78,"8449,63",BRL,Y,03/29,284,2758,43,"4693,24",BR,Legacy note 78,SQUARE,3.74,14532,3,A,USA,P,"2048,22",b593d776-0ee7-44ae-b926-54d40100805f
VC-00079,B,02,USER 79,"1145,33",USD,N,11/27,841,8032,2,"4218,72",ES,Legacy note 79,STRIPE,2.62,18498,4,B,USA,T,"1774,25",79f3e9ed-fdeb-4f04-bccb-f64b58afa869
VC-00080,A,01,USER 80,"7328,52",BRL,Y,01/26,444,4082,26,"4590,39",BR,Legacy note 80,SQUARE,2.85,999,2,B,Spain,P,"7533,52",74f2267f-9db0-4604-972e-ea77214f754b
VC-00081,A,05,USER 81,"1887,93",EUR,Y,12/33,667,2662,48,"2586,51",US,Legacy note 81,SQUARE,1.51,16218,5,A,Brazil,P,"8620,02",6d8d1746-0b2e-4151-aa6c-bea231b5b01d
VC-00082,A,04,USER 82,"7996,19",BRL,N,03/34,574,4418,11,"4515,94",BR,Legacy note 82,ADYEN,0.50,10774,5,B,Portugal,T,"900,81",74199ce2-9ef0-4187-ab5a-22546bf94b7b
VC-00083,A,04,USER 83,"4293,58",BRL,N,11/35,439,8291,49,"4239,63",US,Legacy note 83,PAYPAL,3.51,7132,1,B,Brazil,T,"908,71",247d52f1-06b6-4523-a8d2-e3ca10a87614
VC-00084,B,02,USER 84,"8084,72",USD,N,10/28,226,1161,3,"986,52",ES,Legacy note 84,PAYPAL,3.18,6614,2,A,Brazil,T,"4990,56",90e519d5-7761-4283-9b8a-787372535c14
VC-00085,A,03,USER 85,"4295,48",EUR,Y,03/30,293,7976,2,"3314,74",PT,Legacy note 85,STRIPE,0.60,7123,2,A,Portugal,T,"6226,59",2fd53b2b-2414-4e40-a7c5-016a21398bf5
VC-00086,B,01,USER 86,"582,32",BRL,N,10/29,912,5651,47,"1690,27",US,Legacy note 86,ADYEN,4.27,2146,2,B,Spain,P,"276,00",c5a2434d-93b0-4f9f-a702-eb84a43ecc7d
VC-00087,B,04,USER 87,"6302,17",BRL,N,10/25,622,2075,25,"1896,70",PT,Legacy note 87,SQUARE,2.63,15349,2,A,Spain,P,"4328,48",45d4b5f4-c599-47a8-b695-720c7e52d0f8
VC-00088,B,03,USER 88,"1973,13",EUR,N,06/28,925,3652,19,"3812,86",FR,Legacy note 88,PAYPAL,3.28,6036,1,A,Portugal,C,"6277,00",4009d3ea-7dca-415e-8aa3-9efbcd6dc530
VC-00089,B,01,USER 89,"176,46",USD,Y,06/34,118,4147,43,"3215,09",US,Legacy note 89,ADYEN,3.38,19503,1,B,Portugal,T,"727,66",3a96f9ea-f812-49a3-964e-333edd4baeae
VC-00090,B,04,USER 90,"9215,89",EUR,N,10/27,875,2464,25,"1816,47",US,Legacy note 90,PAYPAL,4.60,3365,2,A,Portugal,C,"5824,39",4602f48c-8008-45db-8e0e-8d4a5e12a30b
VC-00091,A,04,USER 91,"4762,50",BRL,Y,08/26,114,8109,42,"3254,39",US,Legacy note 91,PAYPAL,1.60,10017,1,A,Spain,T,"3892,73",cf12a60c-2756-4bfb-996f-4852920217a1
VC-00092,B,02,USER 92,"1402,04",BRL,N,02/26,301,4213,15,"226,65",US,Legacy note 92,ADYEN,2.14,20000,1,B,France,T,"9933,93",84cd8665-f96f-43e4-bf70-b916f6dc8a24
VC-00093,A,01,USER 93,"3959,15",BRL,Y,09/29,395,6054,34,"1768,07",US,Legacy note 93,SQUARE,3.59,3345,5,A,Brazil,P,"4261,63",c397d81a-e574-4da2-81ee-2b1a356f9518
VC-00094,A,03,USER 94,"7703,72",EUR,N,06/33,153,3261,24,"666,44",BR,Legacy note 94,SQUARE,2.82,13950,2,A,Brazil,C,"307,90",a2f76f2d-1870-4f64-84f4-8e8476136f0d
VC-00095,B,05,USER 95,"5698,24",BRL,N,05/33,523,4936,38,"770,24",PT,Legacy note 95,SQUARE,3.71,2505,4,B,France,C,"9282,64",cb3ca64e-cecf-4cde-9443-b164effe7c9d
VC-00096,B,04,USER 96,"568,25",BRL,N,01/34,548,3695,9,"4097,39",US,Legacy note 96,ADYEN,1.81,7775,2,B,Brazil,T,"8873,67",90f9ea2e-4909-4a7c-a398-b551dff3547e
VC-00097,B,04,USER 97,"4345,13",EUR,Y,03/35,657,7821,33,"2927,81",PT,Legacy note 97,PAYPAL,2.63,10669,5,B,Portugal,P,"7175,29",e3a2d419-c1bf-4075-b71d-1cea72f83bd6
VC-00098,B,03,USER 98,"4442,55",BRL,N,01/26,226,9424,19,"4130,63",PT,Legacy note 98,SQUARE,0.95,3525,1,A,France,C,"1705,90",405dcfb9-c1e5-4545-b4ca-2d931e5cb271
VC-00099,A,01,USER 99,"1968,30",BRL,Y,11/27,266,3445,1,"4685,65",PT,Legacy note 99,STRIPE,2.77,5875,3,B,Spain,T,"4887,18",3cd4735e-bbb3-4d44-851c-e4c5b98ba15d
VC-00100,B,01,USER 100,"5945,74",BRL,Y,01/26,516,7463,44,"863,22",PT,Legacy note 100,PAYPAL,3.21,3511,2,B,Portugal,P,"9155,33",3f02fff2-bcec-4314-b0b1-8745e22791a9
VC-00101,B,05,USER 101,"3933,92",EUR,N,02/32,855,9041,20,"117,30",BR,Legacy note 101,ADYEN,1.84,12953,2,B,Spain,T,"9807,58",f699a86a-33e2-4b21-909d-d1910f3967ea
VC-00102,A,01,USER 102,"3601,00",EUR,N,05/25,928,4199,9,"3218,04",BR,Legacy note 102,STRIPE,4.44,14094,1,B,Spain,P,"3753,93",bae7ef38-4b80-4227-98e2-e2c8fb454698
VC-00103,B,04,USER 103,"3428,85",EUR,N,05/31,885,7251,24,"4034,06",US,Legacy note 103,SQUARE,3.27,15789,4,B,USA,T,"9433,59",05af1a59-d11f-4b35-92dc-c9ee9bcdca89
VC-00104,B,03,USER 104,"1209,39",BRL,N,09/31,453,9520,46,"554,59",ES,Legacy note 104,STRIPE,3.71,11227,2,B,Brazil,P,"9747,83",040edb16-5e9c-4edb-b9f4-3880278c63e3
VC-00105,B,01,USER 105,"5152,05",BRL,Y,01/29,292,8499,28,"1935,20",PT,Legacy note 105,PAYPAL,3.55,19293,1,B,Spain,C,"2003,27",4ecff7d2-fcf3-41a9-b8f5-09bc7c4a287b
VC-00106,B,02,USER 106,"5710,52",EUR,N,01/33,537,4337,15,"2315,22",FR,Legacy note 106,ADYEN,3.70,13418,5,A,Portugal,C,"1460,89",9d3cccb7-4753-4141-be54-83d443af69cc
VC-00107,B,04,USER 107,"5202,32",EUR,N,05/33,959,9444,34,"2108,12",US,Legacy note 107,ADYEN,1.82,8816,1,A,USA,T,"8455,84",fb195be2-1225-46c0-ae63-2b632e7f2c75
VC-00108,B,01,USER 108,"6479,81",USD,N,10/30,906,9306,3,"1731,58",US,Legacy note 108,ADYEN,3.71,7156,3,A,Portugal,P,"9600,71",02ccac2f-68c4-48ee-adef-11fa7ac92a1b
VC-00109,A,05,USER 109,"3074,14",EUR,N,12/27,178,2465,33,"4402,12",ES,Legacy note 109,PAYPAL,2.45,10803,3,A,Brazil,C,"7156,13",b8d1b02a-e44c-4170-ac67-61ad0e40f45b
VC-00110,B,05,USER 110,"363,60",USD,Y,08/26,290,8948,7,"1271,20",PT,Legacy note 110,SQUARE,2.63,8323,2,B,Brazil,T,"9576,42",bdb1fbd4-9d4a-4ff9-8ad4-ec54fbb4d7c2
VC-00111,A,01,USER 111,"3271,05",EUR,N,10/27,646,2839,21,"1282,25",FR,Legacy note 111,ADYEN,2.30,2088,1,B,Spain,T,"4619,62",faa9b777-2dfc-4992-9be3-d8a52a304839
VC-00112,B,02,USER 112,"4019,34",USD,N,05/34,616,2344,16,"343,45",BR,Legacy note 112,STRIPE,1.34,7474,2,A,USA,T,"5727,60",802f494b-4ca1-4293-9d49-f205921caf69
VC-00113,A,05,USER 113,"1377,21",EUR,Y,09/26,547,8506,22,"1591,12",PT,Legacy note 113,ADYEN,3.76,2814,3,A,France,P,"2766,81",bd4e57e3-4505-4512-b183-8048212cdaa5
VC-00114,A,02,USER 114,"463,20",EUR,N,01/35,257,3323,13,"818,90",US,Legacy note 114,PAYPAL,1.98,18869,2,A,Portugal,T,"195,33",c1e0c1ca-32dd-465f-9d2f-a8d5967cdb18
VC-00115,B,03,USER 115,"9152,20",BRL,N,07/30,655,2744,26,"968,14",FR,Legacy note 115,ADYEN,1.10,11236,2,A,Spain,P,"5604,23",06c829f7-3622-4b66-a5c6-50c781e49332
VC-00116,B,03,USER 116,"9280,29",EUR,N,07/30,810,4560,23,"1599,02",US,Legacy note 116,ADYEN,3.14,12868,2,A,Spain,P,"5388,50",c52f7dbd-6dad-481f-bc0d-89335aa7440e
VC-00117,B,02,USER 117,"7753,20",EUR,Y,11/25,171,1099,34,"1548,75",ES,Legacy note 117,STRIPE,1.22,2376,4,B,France,T,"3132,86",6979d68f-1374-4109-83f7-d4d4e1cbb36a
VC-00118,B,03,USER 118,"4569,67",BRL,Y,06/32,317,7069,33,"3871,83",FR,Legacy note 118,STRIPE,1.53,18320,4,A,Spain,P,"9905,88",8fa277e5-33d7-49e8-880d-0ce4aefa5620
VC-00119,B,04,USER 119,"4578,25",BRL,Y,04/33,116,6806,47,"2921,46",ES,Legacy note 119,STRIPE,2.33,5742,5,A,Spain,C,"3863,13",b731512c-2e40-421c-b750-4ae273d1d746
VC-00120,A,05,USER 120,"5876,87",USD,N,04/33,245,1609,28,"3040,94",ES,Legacy note 120,SQUARE,1.25,19937,5,A,Brazil,P,"9808,24",954a25a8-259c-4f93-a3ae-fab1d7c196dd
VC-00121,A,02,USER 121,"4911,31",BRL,N,04/29,465,6705,33,"4119,16",US,Legacy note 121,PAYPAL,2.07,14148,2,B,France,T,"388,07",c8b9e930-e998-4d7e-a75d-72e8f4dcbcfe
VC-00122,A,05,USER 122,"4390,44",EUR,N,01/33,496,6653,39,"1284,22",ES,Legacy note 122,SQUARE,4.34,8207,3,A,USA,P,"6326,36",cabe4c85-a763-4d22-9c4b-a6eb8fd6c133
VC-00123,B,03,USER 123,"3023,28",EUR,Y,11/28,836,6065,48,"499,89",ES,Legacy note 123,STRIPE,3.48,2691,1,A,Portugal,P,"4055,70",ce4aeedb-2f57-4a9e-8ee4-c093596b933f
