CARD_REF,STATE,BRAND_CODE,HOLDER,BALANCE_STR,ACTIVE_FLG,EXPIRY_TXT,CVV_TXT,COUNTRY_CODE,CURR,INTL_FLG,MAX_TX_DAY,MAX_TX_AMT,PROVIDER_NAME,PROVIDER_FEE,PROVIDER_LIMIT,PROVIDER_PRIORITY
VC-100111,A,01,JOSHUA HERNANDEZ,"3415,61",Y,04/25,618,US,USD,N,1,"1717,15",ADYEN,2.56,39131,3
VC-100112,A,05,VICTORIA HERNANDEZ MD,"2973,03",N,03/27,114,US,USD,N,36,"4294,27",PAYPAL,1.75,6360,4
VC-100113,A,02,SHERRY SIMPSON,"2554,42",N,01/27,719,ES,USD,Y,5,"1901,36",SQUARE,1.15,95055,5
VC-100114,B,04,ERICA JIMENEZ,"2622,09",Y,08/25,323,BR,BRL,N,5,"425,40",PAYPAL,1.80,38531,4
VC-100115,A,02,MR. DAKOTA LYNCH II,"2726,82",N,07/24,786,BR,EUR,Y,15,"4235,57",ADYEN,1.15,22663,3
VC-100116,A,03,VICTOR NOLAN,"4760,12",N,12/27,181,PT,EUR,N,8,"1666,77",ADYEN,2.86,73738,5
VC-100117,A,03,AMANDA HERNANDEZ,"4935,29",N,05/29,407,US,BRL,N,43,"4925,38",ADYEN,1.75,36065,4
VC-100118,A,01,RICHARD KIRBY,"1673,90",Y,10/27,686,BR,USD,N,9,"836,89",STRIPE,2.14,72956,2
VC-100119,A,02,MICHELLE ROMAN,"2930,44",N,12/27,563,US,BRL,N,4,"1734,54",SQUARE,2.46,74873,1
VC-100120,A,02,BRADLEY MELTON,"3464,85",Y,06/28,290,ES,USD,Y,27,"4443,75",STRIPE,1.78,10144,2
VC-100121,A,04,DANNY WILLIAMS,"2738,58",Y,08/30,375,ES,USD,N,26,"654,53",STRIPE,0.58,48756,5
VC-100122,A,05,RYAN RIVERA,"4834,37",Y,12/29,110,PT,USD,Y,40,"2950,10",PAYPAL,4.89,80275,3
VC-100123,A,01,CHARLES DOUGLAS,"2041,85",N,03/28,622,BR,BRL,N,38,"4900,63",SQUARE,0.81,8726,5
VC-100124,A,03,KATHY SANTANA,"4719,58",N,12/30,379,PT,BRL,N,12,"4650,58",SQUARE,3.05,31257,4
VC-100125,B,05,LAURA GREGORY,"1054,51",N,12/25,524,PT,BRL,Y,3,"3714,90",ADYEN,0.72,24895,1
VC-100126,B,04,NORMA MOONEY,"3996,68",Y,06/25,569,ES,EUR,Y,5,"2781,22",ADYEN,4.57,30754,3
VC-100127,A,05,SUSAN HARRIS,"798,41",Y,08/24,544,US,BRL,N,3,"3842,91",ADYEN,0.86,88841,4
VC-100128,B,01,LINDA PETERSEN,"3592,02",N,05/25,296,US,EUR,Y,16,"270,94",SQUARE,2.21,54738,4
VC-100129,A,04,DR. JAMES WILLIS,"995,44",Y,12/27,951,BR,USD,Y,18,"2591,61",PAYPAL,1.20,80996,5
VC-100130,B,04,REBECCA SANDOVAL,"324,39",N,07/28,648,ES,USD,N,37,"3356,87",STRIPE,4.45,76118,2
VC-100131,A,05,CHRISTOPHER HUNTER,"4185,09",N,11/27,736,ES,USD,N,5,"2588,85",SQUARE,1.73,67470,2
VC-100132,A,03,AUSTIN HEATH,"147,75",N,05/28,766,ES,USD,N,44,"2007,71",SQUARE,0.51,55520,3
VC-100133,A,03,ELIZABETH RUSSELL,"563,45",N,04/28,347,PT,BRL,Y,40,"4740,21",PAYPAL,2.51,91970,3
VC-100134,A,03,AMY DAVIDSON,"3938,39",Y,04/24,371,BR,EUR,N,10,"4165,34",PAYPAL,1.62,86147,1
VC-100135,A,04,DUSTIN GREER,"1042,30",Y,05/27,675,PT,BRL,Y,2,"1307,05",SQUARE,0.90,63290,1
VC-100136,B,02,ANDREW BUTLER,"1273,75",Y,04/25,339,BR,EUR,Y,13,"3548,22",SQUARE,2.73,98477,5
VC-100137,A,04,SCOTT LOVE DDS,"765,02",N,06/26,179,BR,BRL,Y,49,"3398,37",STRIPE,2.27,60607,2
VC-100138,B,05,WILLIAM JENKINS,"3534,82",Y,06/26,820,PT,EUR,N,12,"1692,62",PAYPAL,2.50,68321,1
VC-100139,B,03,JASMINE WILLIAMS,"1279,56",N,08/30,351,ES,USD,N,30,"3989,55",PAYPAL,3.51,72723,2
VC-100140,B,04,CHRISTIAN JOHNSON,"1684,79",Y,09/29,235,PT,USD,Y,22,"1934,74",PAYPAL,1.66,96099,5
VC-100141,A,02,LORRAINE GARCIA,"4388,92",Y,07/28,760,ES,EUR,Y,40,"2660,78",PAYPAL,1.26,60097,4
VC-100142,B,04,HANNAH REYES,"1700,40",N,08/28,438,PT,BRL,Y,26,"3665,88",STRIPE,0.99,6737,3
VC-100143,A,02,KATHERINE IBARRA,"4524,02",N,12/26,299,PT,USD,N,43,"2009,55",ADYEN,1.84,88780,1
VC-100144,A,01,JULIE CHEN,"622,78",N,12/28,840,ES,BRL,Y,46,"260,81",ADYEN,3.11,65413,2
VC-100145,B,05,CALEB FLEMING,"3596,29",N,05/28,363,US,EUR,N,44,"1309,12",PAYPAL,4.60,30946,4
VC-100146,B,01,RACHEL MARTINEZ,"1247,38",N,12/25,243,BR,USD,Y,37,"1320,80",SQUARE,1.17,89875,1
VC-100147,A,05,REBECCA STARK,"2652,59",Y,09/29,258,US,USD,Y,26,"1969,80",PAYPAL,4.54,90332,1
VC-100148,A,03,MELANIE PATRICK,"1776,70",N,01/24,566,US,BRL,N,12,"4598,80",SQUARE,1.38,38898,4
VC-100149,B,02,RACHEL LOPEZ,"1042,25",N,04/26,972,US,BRL,N,33,"1042,66",ADYEN,2.56,12251,3
VC-100150,B,01,JILL SHERMAN,"1466,22",Y,02/28,367,PT,USD,Y,45,"2819,33",ADYEN,4.70,13372,4
VC-100151,B,01,RICHARD JONES,"4353,72",Y,01/26,425,US,USD,Y,37,"2562,94",STRIPE,3.87,63937,1
VC-100152,B,05,TIMOTHY TUCKER,"4796,54",N,04/27,967,BR,EUR,Y,17,"768,67",SQUARE,1.29,43845,1
VC-100153,B,01,THERESA ESTRADA,"2907,42",N,01/25,619,ES,EUR,Y,32,"4824,11",STRIPE,3.19,37624,1
VC-100154,A,02,CINDY DAVIS,"661,55",Y,04/28,250,US,EUR,N,36,"3269,49",STRIPE,2.97,32212,3
VC-100155,B,03,STACY CHAN,"3882,52",N,09/30,841,US,EUR,N,42,"4155,94",PAYPAL,1.34,65851,5
VC-100156,A,02,JENNIFER TORRES,"3770,23",N,10/28,939,US,BRL,N,24,"603,20",SQUARE,3.32,29472,4
VC-100157,B,03,JEFFERY KNIGHT,"2242,92",Y,01/28,368,ES,USD,N,8,"3028,86",PAYPAL,0.69,54787,3
VC-100158,B,02,TAYLOR PERRY,"3998,07",Y,11/25,530,PT,USD,Y,21,"3521,22",SQUARE,3.21,91627,5
VC-100159,A,03,RAYMOND NAVARRO,"4788,95",N,07/30,734,PT,BRL,N,35,"3608,24",STRIPE,0.82,35846,3
VC-100160,B,03,JEREMY PARKS,"1315,31",N,05/24,764,PT,BRL,N,25,"4978,21",ADYEN,2.63,66948,4
VC-100161,A,02,THOMAS RIVERS,"1389,82",Y,08/25,205,ES,EUR,N,50,"755,53",PAYPAL,4.98,9377,3
VC-100162,A,04,ANGELA JONES,"3967,16",N,06/30,354,ES,BRL,N,41,"1906,06",SQUARE,3.38,67307,2
VC-100163,A,01,ALLEN BAILEY,"2331,65",Y,05/26,657,PT,BRL,N,40,"2777,74",SQUARE,2.88,41607,4
VC-100164,B,01,WILLIAM FUENTES,"3401,16",Y,10/30,783,US,BRL,Y,3,"2073,00",SQUARE,1.04,3749,3
VC-100165,B,03,STEVEN CLARK,"4020,68",Y,09/24,676,BR,BRL,Y,38,"4213,02",SQUARE,2.36,21837,2
VC-100166,A,05,MICHAEL MAYS,"1500,01",Y,10/28,638,PT,BRL,Y,48,"3037,84",PAYPAL,3.04,47860,3
VC-100167,A,02,ADAM WOOD,"2183,04",N,07/26,945,ES,BRL,Y,50,"4039,37",STRIPE,2.63,37487,3
VC-100168,B,05,LARRY VILLARREAL,"4350,53",N,07/30,167,PT,EUR,N,17,"1514,13",PAYPAL,3.33,45154,2
VC-100169,B,05,BRIAN COOPER,"3461,55",N,07/29,119,PT,EUR,N,14,"2280,76",SQUARE,2.17,49062,1
VC-100170,A,05,BEVERLY LEVY,"3097,72",N,07/26,722,ES,USD,N,39,"1438,61",STRIPE,4.68,1588,4
VC-100171,B,03,JOHN CARTER,"1328,62",Y,05/30,954,US,BRL,N,14,"2529,93",ADYEN,1.73,34740,2
VC-100172,A,01,TINA FIELDS,"1960,41",N,02/28,874,US,EUR,Y,32,"4769,58",ADYEN,1.33,92364,4
VC-100173,B,05,WILLIE GARCIA,"4422,00",N,02/30,551,ES,BRL,N,29,"2224,60",SQUARE,0.76,43473,1
VC-100174,A,03,BROOKE HURST,"4115,36",Y,02/24,556,US,USD,Y,8,"1254,98",PAYPAL,4.07,39941,2
VC-100175,A,01,REGINA STEWART,"1184,76",N,06/24,650,US,EUR,Y,32,"4009,52",PAYPAL,3.72,37444,1
VC-100176,A,04,PAUL CARTER,"1394,85",Y,08/24,166,BR,BRL,Y,49,"4067,66",PAYPAL,4.83,31808,2
VC-100177,A,05,ANGEL ANDERSON,"3680,43",Y,05/27,977,US,USD,Y,17,"1770,60",ADYEN,4.01,44008,5
VC-100178,A,01,BLAKE JONES,"1220,78",Y,08/29,336,US,BRL,Y,29,"4432,78",ADYEN,1.93,70239,3
VC-100179,A,03,JUAN YANG,"728,52",N,09/25,812,US,BRL,N,35,"3997,10",ADYEN,1.81,30463,3
VC-100180,A,04,JAY WALSH,"2318,46",N,03/29,247,BR,BRL,N,33,"3001,03",ADYEN,4.44,7536,1
VC-100181,A,05,JEREMY WOOD,"2844,64",N,05/27,297,ES,USD,N,8,"4996,49",PAYPAL,3.49,91245,4
VC-100182,A,02,AMY ORTIZ,"1068,53",N,09/27,484,PT,BRL,Y,50,"1973,18",STRIPE,1.13,86521,4
VC-100183,A,05,NICHOLAS FLORES,"4202,85",N,08/25,975,ES,EUR,Y,20,"1948,83",ADYEN,2.32,19553,2
VC-100184,B,04,EDWARD RUIZ,"1951,10",N,12/30,721,PT,USD,N,36,"1425,77",PAYPAL,0.80,81731,4
VC-100185,A,04,REBECCA HILL,"1347,27",Y,05/28,717,US,BRL,Y,40,"2246,06",STRIPE,3.95,18698,3
VC-100186,A,03,MELISSA FLYNN,"1147,94",Y,07/29,481,US,EUR,N,44,"2809,16",STRIPE,2.17,49697,3
VC-100187,B,03,JAMES SAUNDERS,"1353,56",Y,09/30,284,PT,BRL,Y,12,"4453,78",PAYPAL,1.49,19993,2
VC-100188,A,03,DAVID CHAVEZ,"1520,02",N,06/28,704,ES,USD,Y,7,"1313,89",SQUARE,3.93,63677,5
VC-100189,A,03,BRENDA FORD,"2739,82",N,05/30,423,BR,EUR,Y,18,"1378,63",SQUARE,3.94,96661,4
VC-100190,A,03,KAREN HARRIS,"748,51",N,07/24,750,PT,EUR,N,25,"3883,57",ADYEN,2.92,90370,2
VC-100191,B,04,MICHAEL MONTGOMERY,"3274,52",N,06/28,584,ES,BRL,N,25,"729,51",SQUARE,1.43,21036,1
VC-100192,B,05,EDWIN MACK,"4117,14",Y,02/28,626,US,USD,N,15,"2832,52",STRIPE,0.84,40691,2
VC-100193,B,01,KIMBERLY MOORE,"1624,17",N,08/27,666,BR,BRL,Y,31,"344,03",PAYPAL,1.25,26727,3
VC-100194,B,04,KAITLIN GREGORY,"2398,75",N,08/24,699,PT,EUR,N,44,"2528,58",PAYPAL,4.85,53048,3
VC-100195,B,03,CRYSTAL GILL,"3535,48",Y,10/28,922,US,EUR,Y,47,"4055,00",PAYPAL,0.58,87596,4
VC-100196,A,01,WILLIAM MARTINEZ,"1780,94",N,06/27,156,ES,USD,Y,21,"2580,80",PAYPAL,0.98,99018,5
VC-100197,B,01,AMANDA SCOTT,"529,52",N,04/25,258,ES,USD,Y,40,"864,44",ADYEN,1.24,24376,2
VC-100198,A,03,LAUREN FOSTER,"4336,66",Y,08/30,893,BR,EUR,Y,10,"3915,24",STRIPE,1.33,25620,3
VC-100199,B,05,DAVID CAMPBELL,"3844,90",N,10/29,712,ES,USD,N,23,"865,92",SQUARE,3.50,2217,2
VC-100200,A,02,SUSAN LARSON,"1908,04",Y,01/26,585,US,EUR,N,31,"4867,91",STRIPE,1.68,33839,2
VC-100201,A,03,RICKY TORRES,"447,80",N,07/25,770,PT,USD,Y,37,"148,18",STRIPE,0.59,56946,2
